title,url,categories,summary,source,published_at,scraped_at
"Belanja Makin Seru, Shopee dan Meta Hadirkan Fitur Baru untuk Kreator &amp; UMKM",https://www.liputan6.com/lifestyle/read/6197630/belanja-makin-seru-shopee-dan-meta-hadirkan-fitur-baru-untuk-kreator-amp-umkm,['Lifestyle'],"Sebagai salah satu platform e-commerce terdepan di Asia Tenggara, Taiwan, dan Brasil, langkah ini menjadi wujud komitmen Shopee dalam menghadirkan pengalaman belanja yang lebih terhubung dan efisien.",Liputan6,2025-10-29T09:32:33,2025-10-29T14:40:38.230329
"Berwisata ke Petilasan Jayabaya di Desa Menang Kediri, Antara Mistis dan Tradisi yang Tetap Lestari",https://www.liputan6.com/lifestyle/read/6197558/berwisata-ke-petilasan-jayabaya-di-desa-menang-kediri-antara-mistis-dan-tradisi-yang-tetap-lestari,['Lifestyle'],Petilasan Jayabaya atau Sri Aji Jayabaya di Kabupaten Kediri merupakan lokasi yang diyakini masyarakat setempat sebagai tempat menghilangnya Prabu Jayabaya.,Liputan6,2025-10-29T09:00:40,2025-10-29T14:40:39.163509
"Jepang Diadang Serangan Beruang, Begini Caranya Menyelamatkan Diri Menurut Ahli",https://www.liputan6.com/lifestyle/read/6196272/jepang-diadang-serangan-beruang-begini-caranya-menyelamatkan-diri-menurut-ahli,['Lifestyle'],Serangan dan laporan penampakan beruang di Jepang belakangan hampir terjadi tiap hari. Edukasi tentang penyelamatan diri terus digencarkan.,Liputan6,2025-10-29T08:01:30,2025-10-29T14:40:39.816902
Pesta Halloween Batal Digelar karena Thailand Berduka Ratu Sirikit Meninggal,https://www.liputan6.com/lifestyle/read/6196912/pesta-halloween-batal-digelar-karena-thailand-berduka-ratu-sirikit-meninggal,['Lifestyle'],Masa berkabung Yang Mulia Ratu Sirikit bakal berlangsung selama setahun.,Liputan6,2025-10-29T07:00:04,2025-10-29T14:40:40.555673
Pedoman Penggunaan Logo Batikmark Sebagai Jaminan Keaslian Batik Indonesia,https://www.liputan6.com/lifestyle/read/6099642/pedoman-penggunaan-logo-batikmark-sebagai-jaminan-keaslian-batik-indonesia,['Lifestyle'],Warna logo Batikmark menunjukkan jenis batik.,Liputan6,2025-10-29T06:00:12,2025-10-29T14:40:41.197561
4 Restoran Indonesia Masuk Daftar Restoran Fine Dining Terbaik di Asia 2025 Menurut TripAdvisor,https://www.liputan6.com/lifestyle/read/6197029/4-restoran-indonesia-masuk-daftar-restoran-fine-dining-terbaik-di-asia-2025-menurut-tripadvisor,['Lifestyle'],"Di kategori fine dining, pembaca diajak membayangkan ""taplak meja putih, koki terbaik, dan hidangan lezat yang tidak terlupakan.""",Liputan6,2025-10-29T04:00:57,2025-10-29T14:40:42.154110
"Cicipi Menu Makanan Rumahan ala Korea Selatan, Ada Haemul Pajeon hingga Galbi nan Lezat",https://www.liputan6.com/lifestyle/read/6196783/cicipi-menu-makanan-rumahan-ala-korea-selatan-ada-haemul-pajeon-hingga-galbi-nan-lezat,['Lifestyle'],Satu lagi restoran Korea dibuka di Tangerang Selatan yang menghadirkan beragam menu makanan rumahan. Salah satunya haemul pajeon.,Liputan6,2025-10-29T02:00:17,2025-10-29T14:40:43.106076
Top 3 Berita Hari Ini: 40 Burung Perkici Dada Merah Akhirnya Kembali ke Indonesia dari Inggris,https://www.liputan6.com/lifestyle/read/6197431/top-3-berita-hari-ini-40-burung-perkici-dada-merah-akhirnya-kembali-ke-indonesia-dari-inggris,['Lifestyle'],"Selain kembalinya burung perkici dada merah ke Indonesia, Top 3 Berita Hari Ini memuat gaya berbatik Cinta Laura dan penampilan memesona Raisa Andriana.",Liputan6,2025-10-28T22:00:10,2025-10-29T14:40:44.293158
"Kunjungi Pameran, Ratu Camilla Lengkapi Rangkaian 10.000 Bunga Poppy",https://www.liputan6.com/photo/read/6197377/kunjungi-pameran-ratu-camilla-lengkapi-rangkaian-10000-bunga-poppy,['Lifestyle'],"Ratu Camilla mengunjungi The Poppy Project di Coresham, sebuah pameran bunga poppy rajutan dan kaitan yang dibuat untuk memperingati 80 tahun berakhirnya Perang Dunia II. Inisiatif komunitas ini terinspirasi oleh The Peacock Women’s Institute, Corsham, dan bertujuan menyatukan berbagai kelompok. Saat berkunjung, Ratu Camilla menyempatkan berfoto berlatar belakang Gereja St. Bartholomew di Corsham, Inggris yang dikelilingi ribuan bunga poppy. Ia juga menyempatkan mengikuti lokakarya, di mana ia bertemu dengan para pembuat dan menyaksikan mereka mendemonstrasikan cara pembuatan masing-masing poppy. Sebelumnya diketahui, The Peacock WI meluncurkan The Poppy Project pada awal tahun 2025, dengan tujuan untuk membuat 10.000 bunga poppy untuk dipajang di kota tersebut. Kelompok ini menerima lebih dari 31.000 bunga poppy dari seluruh wilayah dan luar Inggris, termasuk sekolah, kelompok pemuda, rumah tinggal, dan bisnis di daerah tersebut.",Liputan6,2025-10-28T20:42:24,2025-10-29T14:40:45.127733
Menbud Tanggapi Permintaan Prabowo Subianto soal Bahasa Portugis Diajarkan di Sekolah,https://www.liputan6.com/lifestyle/read/6196645/menbud-tanggapi-permintaan-prabowo-subianto-soal-bahasa-portugis-diajarkan-di-sekolah,['Lifestyle'],Presiden Prabowo Subianto meminta Bahasa Portugis jadi salah satu bahasa asing yang diprioritaskan dalam sistem pendidikan di Indonesia sebagai bukti Indonesia memandang Brasil sebagai mitra penting.,Liputan6,2025-10-28T21:55:57,2025-10-29T14:40:46.217218
"Catatan Penutup IN2MOTIONFEST 2025, Tampilkan 214 Desainer dan Raup Transaksi Rp16,1 Miliar",https://www.liputan6.com/lifestyle/read/6197278/catatan-penutup-in2motionfest-2025-tampilkan-214-desainer-dan-raup-transaksi-rp161-miliar,['Lifestyle'],"IN2MOTIONFEST 2025 berlangsung selama lima hari, pada 8--12 Oktober 2025, yang menggabungkan fashion show, diskusi interaktif, dan transaksi bisnis.",Liputan6,2025-10-28T19:01:50,2025-10-29T14:40:46.802768
"Resep Bumbu Tempe Bacem Sederhana, Rasa Manis Gurih Meresap Sempurna",https://www.liputan6.com/lifestyle/read/6197198/resep-bumbu-tempe-bacem-sederhana-rasa-manis-gurih-meresap-sempurna,['Lifestyle'],"Bumbu tempe bacem jadi dasar serbaguna. Berikut 5 resep lengkap—khas Jogja, tanpa kelapa, mentega, basah, dan klasik.",Liputan6,2025-10-28T18:50:59,2025-10-29T14:40:47.305944
16 Rekomendasi Tempat Makan Enak di Dekat Institut Teknologi Bandung Terfavorit 2025,https://www.liputan6.com/lifestyle/read/6197074/16-rekomendasi-tempat-makan-enak-di-dekat-institut-teknologi-bandung-terfavorit-2025,['Lifestyle'],"Temukan 16 rekomendasi tempat makan enak di dekat Institut Teknologi Bandung terfavorit 2025 yang wajib dicoba! Dari hidangan legendaris hingga kafe modern, jelajahi kuliner terbaik di sekitar ITB.",Liputan6,2025-10-28T18:36:36,2025-10-29T14:40:48.127331
Huda Beauty Jadi Sponsor Miss Universe Palestina Nadeen Ayoub Setelah Bosnya Dirujak karena Mengkritik Israel,https://www.liputan6.com/lifestyle/read/6196719/huda-beauty-jadi-sponsor-miss-universe-palestina-nadeen-ayoub-setelah-bosnya-dirujak-karena-mengkritik-israel,['Lifestyle'],"Bos Huda Beauty, Huda Kattan, telah terang-terangan mendukung Palestina dan menggunakan platform-nya untuk meningkatkan kesadaran tentang genosida di Gaza",Liputan6,2025-10-28T18:15:59,2025-10-29T14:40:48.636822
"7 Rekomendasi Tempat Makan Enak Dekat Keraton Yogyakarta, Wajib Dicoba",https://www.liputan6.com/lifestyle/read/6197177/7-rekomendasi-tempat-makan-enak-dekat-keraton-yogyakarta-wajib-dicoba,['Lifestyle'],"Temukan 7 rekomendasi tempat makan enak dekat Keraton Yogyakarta yang wajib dicoba! Dari hidangan kerajaan hingga gudeg legendaris, jelajahi cita rasa autentik Jogja yang memikat selera.",Liputan6,2025-10-28T18:00:07,2025-10-29T14:40:49.695599
"Lebih dari 665 Ribu Data Pribadi Pelanggan Bocor, Marina Bay Sands Singapura Didenda Rp 4 Miliar",https://www.liputan6.com/lifestyle/read/6197202/lebih-dari-665-ribu-data-pribadi-pelanggan-bocor-marina-bay-sands-singapura-didenda-rp-4-miliar,['Lifestyle'],Kasus kebocoran data pribadi pelanggan Marina Bay Sands Singapura itu terjadi pada 2023.,Liputan6,2025-10-28T17:30:48,2025-10-29T14:40:50.223652
"4 Resep Pesmol Ikan Nila Bumbu Kuning dengan Cita Rasa Nusantara, Menggugah Selera",https://www.liputan6.com/lifestyle/read/6197118/4-resep-pesmol-ikan-nila-bumbu-kuning-dengan-cita-rasa-nusantara-menggugah-selera,['Lifestyle'],"Temukan rahasia di balik kelezatan pesmol ikan nila bumbu kuning, hidangan Nusantara kaya rempah yang tak hanya menggugah selera, tapi juga menyehatkan keluarga Anda!",Liputan6,2025-10-28T17:00:41,2025-10-29T14:40:50.811399
"31 Rekomendasi Tempat Makan Enak Sekitar Keraton Surakarta, Jelajahi Kuliner Solo",https://www.liputan6.com/lifestyle/read/6197062/31-rekomendasi-tempat-makan-enak-sekitar-keraton-surakarta-jelajahi-kuliner-solo,['Lifestyle'],Rekomendasi tempat makan enak sekitar Keraton Surakarta yang menyajikan hidangan lezat dengan harga bersahabat dan suasana unik.,Liputan6,2025-10-28T16:30:00,2025-10-29T14:40:51.914202
Pangeran Andrew Minta Rumah Bekas Kediaman Pangeran Harry dan Meghan Markle,https://www.liputan6.com/lifestyle/read/6196504/pangeran-andrew-minta-rumah-bekas-kediaman-pangeran-harry-dan-meghan-markle,['Lifestyle'],"Pangeran Andrew dilaporkan setuju keluar dari Royal Lodge, tetapi ia meminta dua rumah sebagai gantinya. Salah satunya adalah bekas kediaman Pangeran Harry dan Meghan Markle.",Liputan6,2025-10-28T16:00:59,2025-10-29T14:40:52.459860
"5 Perempuan Indonesia yang Membuat Hidup Hijau, Selaras dengan Alam",https://www.liputan6.com/lifestyle/read/6197078/5-perempuan-indonesia-yang-membuat-hidup-hijau-selaras-dengan-alam,['Lifestyle'],Lima perempuan Indonesia inspiratif yang buktikan gaya hidup ramah lingkungan bisa dimulai dari diri sendiri.,Liputan6,2025-10-28T15:34:00,2025-10-29T14:40:53.156191
"7 Resep Bumbu Goreng Ikan Nila dan Lele, Gurih, Renyah, dan Anti Amis",https://www.liputan6.com/lifestyle/read/6196885/7-resep-bumbu-goreng-ikan-nila-dan-lele-gurih-renyah-dan-anti-amis,['Lifestyle'],"Temukan 7 resep bumbu goreng ikan nila dan lele yang praktis dan dijamin gurih, renyah, serta bebas bau amis. Siap membuat hidangan ikan favorit keluarga Anda makin istimewa!",Liputan6,2025-10-28T15:00:00,2025-10-29T14:40:53.802702
"Shopee Jagoan UMKM Naik Kelas Episode 5: 60 Detik Penentuan, Siapa yang Tampil Gemilang? ",https://www.liputan6.com/lifestyle/read/6197063/shopee-jagoan-umkm-naik-kelas-episode-5-60-detik-penentuan-siapa-yang-tampil-gemilang,['Lifestyle'],"Bukan sekadar menjual produk, kali ini para finalis ditantang untuk menjual ide bisnis mereka dalam waktu hanya satu menit. Tanpa skrip, tanpa naskah cadangan, murni simulasi nyata dunia bisnis. Hanya 60 detik untuk meyakinkan tiga calon investor yang duduk sebagai juri.",Liputan6,2025-10-28T15:20:55,2025-10-29T14:40:54.342946
